TAXON_GROUP_NAME;QUANTITY_KG;percent;labels
Solea solea;59893.3765745;0.0083;0.83%
Illex spp.;102150.6544776;0.0141;1.41%
Loliginidae;203878.07125;0.0282;2.82%
Mullus spp.;212454.4746222;0.0294;2.94%
Scomber scombrus;436014.0950191;0.0604;6.04%
Lophius spp.;457207.69101555;0.0633;6.33%
Trisopterus minutus;457422.3199998;0.0633;6.33%
Merluccius merluccius;603223.20963915;0.0835;8.35%
Octopus vulgaris and Eledone spp.;1149169.8652496;0.1591;15.91%
Engraulis encrasicolus;1300029.3436009;0.18;18.00%
Others;2240667.65998175;0.3103;31.03%
