TAXON_GROUP_NAME;VALUE_EURO;percent;labels
Illex spp.;588508.0736617;0.0205;2.05%
Trisopterus minutus;858799.7035837;0.0299;2.99%
Scomber scombrus;1042396.29487705;0.0362;3.62%
Solea solea;1210625.14476;0.0421;4.21%
Mullus spp.;1246648.9695232;0.0433;4.33%
Engraulis encrasicolus;1321855.6334647;0.046;4.60%
Lophius spp.;2614381.8224211;0.0909;9.09%
Loliginidae;2713656.8237278;0.0943;9.43%
Merluccius merluccius;4231588.62954395;0.1471;14.71%
Octopus vulgaris and Eledone spp.;4904439.49148025;0.1705;17.05%
Others;8030854.54944365;0.2792;27.92%
